sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
善化,臺南市,28,,良好,0.1,0.16,18.7,30.1,9,4,4.1,4.2,0.1,0.7,6,"2023/07/23 20:00:00",0.1,4.4,10,0,120.29740529,23.11337642,44
安南,臺南市,30,,良好,0.8,0.24,12.8,32.3,14,8,10.4,10.8,0.4,0.5,341,"2023/07/23 20:00:00",0.1,7.4,15,0,120.2175,23.048197,45
臺南,臺南市,30,,良好,0,0.5,9.5,28.9,11,7,18,19.2,1.2,0.2,169,"2023/07/23 20:00:00",0.3,7.1,12,0,120.22085,22.99123,46
美濃,高雄市,29,,良好,1.3,0.16,16.4,31.7,13,2,3.3,4.3,1,0.3,55,"2023/07/23 20:00:00",0.1,4.7,11,1,120.530542,22.883583,47
橋頭,高雄市,36,,良好,0.8,0.27,23.5,39.7,15,6,6.3,7.1,0.8,0.7,122,"2023/07/23 20:00:00",0.1,8,19,1,120.305689,22.757506,48
仁武,高雄市,39,,良好,0.9,0.23,22.1,42.8,15,6,10.5,11.6,1.1,1,320,"2023/07/23 20:00:00",0.1,9.5,13,0,120.332631,22.689056,49
鳳山,高雄市,31,,良好,0.4,0.4,18.1,33.3,10,5,10.3,11.6,1.3,0.3,276,"2023/07/23 20:00:00",0.3,8.1,15,0,120.357422,22.628126,50
大寮,高雄市,25,,良好,0.3,0.2,16.6,27.5,15,5,6.2,7.3,1.1,0.3,136,"2023/07/23 20:00:00",0.1,6.4,16,1,120.425311,22.56413611,51
林園,高雄市,24,,良好,1,0.17,23.4,26.5,12,5,9.1,9.4,0.3,1.1,54,"2023/07/23 20:00:00",0.1,6.3,18,0,120.41175,22.4795,52
楠梓,高雄市,36,,良好,1,0.16,25.9,39.7,6,4,5.4,6.4,1,0.5,73,"2023/07/23 20:00:00",0.1,7.5,13,1,120.328289,22.733667,53
左營,高雄市,38,,良好,0.7,0.24,20.2,41.4,12,4,7.3,8.2,0.8,0.4,222,"2023/07/23 20:00:00",0.1,6.7,13,1,120.292917,22.674861,54
前金,高雄市,38,,良好,0.4,0.31,22.6,41,14,10,8.8,10.1,1.3,0.2,258,"2023/07/23 20:00:00",0.2,10.2,15,0,120.28676111,22.63390278,56
前鎮,高雄市,34,,良好,1.7,0.49,15.7,37.7,11,7,16.1,17.4,1.3,0.2,257,"2023/07/23 20:00:00",0.2,7.2,15,2,120.30833356,22.6044507,57
小港,高雄市,33,,良好,0.5,0.25,20.9,36.5,16,8,11.8,12.9,1.1,0.8,292,"2023/07/23 20:00:00",0.1,7.9,13,0,120.337736,22.565833,58
屏東,屏東縣,38,,良好,0.7,0.27,20.6,41.3,7,7,7.3,8.1,0.8,0.4,301,"2023/07/23 20:00:00",0.2,8.1,11,0,120.488033,22.673081,59
潮州,屏東縣,26,,良好,0,0.19,20,28.1,15,5,5.1,5.7,0.6,0,252,"2023/07/23 20:00:00",0.1,6.2,12,0,120.561175,22.523108,60
恆春,屏東縣,11,,良好,0.1,0.06,12.3,12.3,6,1,0.5,0.7,0.2,3,56,"2023/07/23 20:00:00",0,0.2,8,0,120.788928,21.958069,61
臺東,臺東縣,13,,良好,0.8,0.11,11.7,14,12,4,3.1,4.7,1.5,1.3,23,"2023/07/23 20:00:00",0,3.4,8,0,121.15045,22.755358,62
花蓮,花蓮縣,17,,良好,1.2,0.11,19,18.3,19,0,1.7,2.6,0.8,0.7,185,"2023/07/23 20:00:00",0,1.6,10,0,121.599769,23.971306,63
陽明,臺北市,27,,良好,0,0.15,22.5,29.6,16,7,2.1,3,0.8,,,"2023/07/23 20:00:00",0.1,7,14,0,121.529583,25.182722,64
宜蘭,宜蘭縣,20,,良好,0.8,0.08,15,18.3,13,8,2.4,3.5,1.1,2.4,6,"2023/07/23 20:00:00",0,6.2,11,1,121.746394,24.747917,65
冬山,宜蘭縣,21,,良好,0.4,0.08,16.4,23.1,5,4,1.6,1.9,0.2,1.7,251,"2023/07/23 20:00:00",0.1,3.1,8,0,121.792928,24.632203,66
三重,新北市,42,,良好,0.8,0.9,6.5,16.1,,8,25.8,49.3,23.4,-,-,"2023/07/23 20:00:00",0.7,7.9,,0,121.493806,25.072611,67
中壢,桃園市,23,,良好,0.9,0.7,9,13.7,19,3,14.5,29.7,15.2,1.1,196,"2023/07/23 20:00:00",0.6,6,15,1,121.221667,24.953278,68
竹山,南投縣,24,,良好,1,0.19,16,26.7,,0,7.5,8.7,1.2,0.6,58,"2023/07/23 20:00:00",0.1,0.8,,0,120.677306,23.756389,69
永和,新北市,29,,良好,1,0.51,12.6,24.1,,11,12.7,16.1,3.4,1.3,161,"2023/07/23 20:00:00",0.4,9,,1,121.516306,25.017,70
復興,高雄市,32,,良好,0,0.49,17.2,35.2,8,3,13.4,15.5,2.1,0.4,197,"2023/07/23 20:00:00",0.3,6.3,12,0,120.312017,22.608711,71
埔里,南投縣,34,,良好,0.6,0.17,25.5,37.7,,0,3.9,5.6,1.6,0.6,295,"2023/07/23 20:00:00",0.1,2.1,,0,120.967903,23.968842,72
馬祖,連江縣,44,,良好,1,0.07,18.9,48.7,11,6,4.9,5.6,0.7,0.3,107,"2023/07/23 20:00:00",0.1,9.1,18,0,119.93149378,26.15188416,75
金門,金門縣,16,,良好,1,0.08,14.5,17.5,3,5,6.5,7.3,0.8,1.8,189,"2023/07/23 20:00:00",0,2.7,3,1,118.312256,24.432133,77
馬公,澎湖縣,19,,良好,0.2,0.07,19.8,21.1,8,2,1.7,2.1,0.4,0.4,255,"2023/07/23 20:00:00",0,2.6,14,0,119.566158,23.569031,78
關山,臺東縣,11,,良好,0.6,0.06,12.2,12.8,10,5,1.4,1.6,0.2,0.4,212,"2023/07/23 20:00:00",0,2,8,0,121.161933,23.045083,80
麥寮,雲林縣,19,,良好,1.2,0.16,18,21.2,11,5,5,6.3,1.3,1,89,"2023/07/23 20:00:00",0.1,4.2,12,1,120.251825,23.753506,83
富貴角,新北市,35,,良好,0.3,0.12,28.2,38.1,16,5,2.3,2.3,0,1.7,175,"2023/07/23 20:00:00",0,3.6,10,0,121.53656894,25.29681695,84
大城,彰化縣,21,,良好,0.9,0.12,21.7,23.4,11,4,5,5.2,0.2,0.3,124,"2023/07/23 20:00:00",0,2.6,13,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,20,,良好,1.8,0.26,16,22,,2,8.7,9.8,1.1,0.3,317,"2023/07/23 20:00:00",0.1,3.3,,1,120.56373,23.96117,201
高雄(湖內),高雄市,,,,,,,,,,,,,,,"2023/07/23 20:00:00",,,,,120.24535,22.87985556,202
臺南(麻豆),臺南市,25,,良好,,0.18,15.3,27.1,11,4,5.6,6.1,0.5,0.2,17,"2023/07/23 20:00:00",0.1,5.5,14,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,,,,,,,,,,,,,,,"2023/07/23 20:00:00",,,,,120.37722,22.35222,204
桃園(三民),桃園市,28,,良好,1.2,0.36,11.5,20.5,22,5,17.2,18.4,1.1,0.6,48,"2023/07/23 20:00:00",0.3,3.3,14,0,121.31788148,25.00132736,310
新北(樹林),新北市,18,,良好,0.1,0.26,10.3,19.1,19,6,8.8,11.1,2.2,0.1,103,"2023/07/23 20:00:00",0.2,5.1,15,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,18,,良好,0.1,0.06,9.3,19.4,8,4,3.4,5.1,1.7,1.9,109,"2023/07/23 20:00:00",0,2.2,12,0,120.651472,22.260899,313
